code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,0.175,5.72,5.78,5.78,5.67,5.71,2125992.0,0.9227400000000001,12151592.0,43.664,1.945,329472.0,131788.8
603998,方盛制药,0.248,8.08,8.1,8.28,8.06,8.06,3553713.0,0.8357800000000001,28933462.0,57.714,3.454,348196.66776,343558.94976
603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
603996,中新科技,-2.727,10.7,10.85,11.1,10.52,11.0,14448695.0,13.99051,156007177.0,21.837,2.127,321160.5,110504.25
603993,洛阳钼业,3.16,6.53,6.33,6.7,6.24,6.33,174565188.0,1.34761,1128623163.0,46.643,3.624,14104304.100699,8458786.146447
603991,至正股份,-0.861,21.87,22.19,22.2,21.5,22.06,167099.0,0.40678000000000003,3680966.0,40.5,3.483,163008.040626,89839.593666
603990,麦迪科技,0.779,33.64,33.28,33.69,33.28,33.38,176299.0,0.29251000000000005,5900755.0,52.563,6.348,272223.6264,202755.008
603989,艾华集团,-0.321,21.73,21.32,21.78,21.11,21.8,1546502.0,0.39654000000000006,33233816.0,22.402,3.177,847470.0,847470.0
603988,中电电机,3.829,14.37,13.8,15.09,13.18,13.84,5706732.0,3.39686,82421514.0,51.321,2.56,241416.0,241416.0
603987,康德莱,0.457,10.99,10.95,11.09,10.77,10.94,1719879.0,0.9048600000000001,18880713.0,28.921,2.762,346663.065,208888.52355
603986,兆易创新,6.45,116.19,108.06,118.0,107.5,109.15,11368821.0,5.48167,1278369270.0,58.387,13.765,3296910.165732,2409747.822801
603985,恒润股份,0.0,19.54,19.37,19.64,19.37,19.54,422259.0,0.6344000000000001,8246654.0,15.441,1.5150000000000001,203216.0,130058.24
603980,吉华集团,0.0,15.35,15.35,15.42,15.21,15.35,2785007.0,1.13381,42653529.0,17.384,1.875,767500.0,377046.79008
