date,code,name,weight
2018-06-29,600000,浦发银行,1.05
2018-06-29,600008,首创股份,0.10
2018-06-29,600009,上海机场,0.50
2018-06-29,600010,包钢股份,0.20
2018-06-29,600011,华能国际,0.25
2018-06-29,600015,华夏银行,0.45
2018-06-29,600016,民生银行,1.55
2018-06-29,600018,上港集团,0.17
2018-06-29,600019,宝钢股份,0.65
2018-06-29,600023,浙能电力,0.18
2018-06-29,600025,华能水电,0.05
2018-06-29,600028,中国石化,0.64
2018-06-29,600029,南方航空,0.28
2018-06-29,600030,中信证券,1.22
2018-06-29,600031,三一重工,0.39
2018-06-29,600036,招商银行,2.55
2018-06-29,600038,中直股份,0.11
2018-06-29,600048,保利地产,0.81
2018-06-29,600050,中国联通,0.43
2018-06-29,600061,国投资本,0.07
2018-06-29,600066,宇通客车,0.24
2018-06-29,600068,葛洲坝,0.19
2018-06-29,600085,同仁堂,0.18
2018-06-29,600089,特变电工,0.24
2018-06-29,600100,同方股份,0.15
2018-06-29,600104,上汽集团,1.15
2018-06-29,600109,国金证券,0.14
2018-06-29,600111,北方稀土,0.23
2018-06-29,600115,东方航空,0.24
2018-06-29,600118,中国卫星,0.11
2018-06-29,600153,建发股份,0.12
2018-06-29,600157,永泰能源,0.10
2018-06-29,600170,上海建工,0.13
2018-06-29,600176,中国巨石,0.20
2018-06-29,600177,雅戈尔,0.18
2018-06-29,600188,兖州煤业,0.11
2018-06-29,600196,复星医药,0.39
2018-06-29,600208,新湖中宝,0.15
2018-06-29,600219,南山铝业,0.14
2018-06-29,600221,海航控股,0.35
2018-06-29,600233,圆通速递,0.04
2018-06-29,600271,航天信息,0.26
2018-06-29,600276,恒瑞医药,1.57
2018-06-29,600297,广汇汽车,0.13
2018-06-29,600309,万华化学,0.70
2018-06-29,600332,白云山,0.20
2018-06-29,600339,中油工程,0.07
2018-06-29,600340,华夏幸福,0.29
2018-06-29,600346,恒力股份,0.10
2018-06-29,600352,浙江龙盛,0.29
2018-06-29,600362,江西铜业,0.15
2018-06-29,600369,西南证券,0.10
2018-06-29,600372,中航电子,0.07
2018-06-29,600373,中文传媒,0.07
2018-06-29,600376,首开股份,0.09
2018-06-29,600383,金地集团,0.22
2018-06-29,600390,五矿资本,0.04
2018-06-29,600398,海澜之家,0.21
2018-06-29,600406,国电南瑞,0.27
2018-06-29,600415,小商品城,0.11
2018-06-29,600436,片仔癀,0.32
2018-06-29,600438,通威股份,0.13
2018-06-29,600482,中国动力,0.14
2018-06-29,600487,亨通光电,0.28
2018-06-29,600489,中金黄金,0.11
2018-06-29,600498,烽火通信,0.13
2018-06-29,600516,方大炭素,0.25
2018-06-29,600518,康美药业,0.64
2018-06-29,600519,贵州茅台,3.44
2018-06-29,600522,中天科技,0.20
2018-06-29,600535,天士力,0.22
2018-06-29,600547,山东黄金,0.17
2018-06-29,600549,厦门钨业,0.12
2018-06-29,600570,恒生电子,0.25
2018-06-29,600583,海油工程,0.11
