code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,1.24,5.72,5.64,5.76,5.62,5.65,2723820.00,1.18,15536909.00,43.66,1.95,329472.00,131788.80
603998,方盛制药,-1.00,7.89,8.08,8.15,7.81,7.97,3567700.00,0.84,28386744.00,56.36,3.37,340008.87,335480.21
603997,继峰股份,0.00,10.87,0.00,0.00,0.00,10.87,0.00,0.00,0.00,23.63,3.84,693200.77,684810.00
603996,中新科技,1.94,11.04,10.71,11.09,10.70,10.83,12823374.00,12.42,140341495.00,22.53,2.19,331365.60,114015.60
603993,洛阳钼业,-1.56,6.30,6.35,6.42,6.20,6.40,100720489.00,0.78,633230664.00,45.00,3.50,13607521.57,8160850.34
603991,至正股份,-0.98,22.14,22.28,22.33,21.97,22.36,253599.00,0.62,5613765.00,41.00,3.53,165020.49,90948.72
603990,麦迪科技,-1.52,33.13,33.64,33.72,32.80,33.64,125200.00,0.21,4167376.00,51.77,6.25,268096.57,199681.14
603989,艾华集团,2.80,21.64,21.05,21.81,20.68,21.05,1156194.00,0.30,24711268.00,22.31,3.16,843960.00,843960.00
603988,中电电机,-0.48,14.36,14.26,14.40,14.10,14.43,2298079.00,1.37,32779772.00,51.29,2.56,241248.00,241248.00
603987,康德莱,-1.10,10.83,11.07,11.07,10.78,10.95,1505400.00,0.79,16369612.00,28.50,2.72,341616.10,205847.38
603986,兆易创新,2.17,119.58,118.13,121.99,115.89,117.04,7939668.00,3.83,941998967.00,60.09,14.17,3393101.97,2480055.47
603985,恒润股份,-0.51,19.48,19.58,19.85,19.31,19.58,333400.00,0.50,6513775.00,15.39,1.51,202592.00,129658.88
603980,吉华集团,-0.52,15.31,15.37,15.41,15.18,15.39,2013900.00,0.82,30771799.00,17.34,1.87,765500.00,376064.26
603979,金诚信,0.12,8.45,8.42,8.47,8.37,8.44,1927938.00,0.62,16252430.00,24.14,1.27,494325.00,264087.73
603978,深圳新星,-2.98,35.55,36.64,36.65,35.25,36.64,1622184.00,4.06,57814606.00,22.64,2.10,568800.00,142200.00
603977,国泰集团,-2.79,9.06,9.12,9.29,8.90,9.32,3379480.00,1.92,30552144.00,29.23,2.09,280417.87,159412.51
