name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code
斯太尔,汽车配件,湖北,0.00,6.54,7.72,237887.88,81028.38,30768.28,142629.50,1.85,-0.04,2.32,1.36,19970627,-40307.01,-0.52,93.24,29.63,19.02,-43.31,45460.00,000760
海达股份,橡胶,江苏,18.75,4.53,5.54,220327.34,146313.45,36424.76,20381.48,0.37,0.08,2.13,2.97,20120601,35484.30,0.64,104.65,97.97,28.96,9.77,15204.00,300320
东方网络,电器仪表,广西,0.00,5.29,7.54,205353.81,85774.90,36010.73,38431.69,0.51,-0.05,1.34,3.11,20071012,-15470.97,-0.21,-76.55,-228.54,-3.82,-91.15,82169.00,002175
奥瑞德,元器件,重庆,24.74,7.95,12.27,659694.06,251063.02,108799.10,79023.11,0.64,0.04,2.19,1.95,19930712,104714.31,0.85,43.47,11.49,23.46,16.22,72279.00,600666
富春股份,通信设备,福建,49.45,5.84,7.41,226098.52,66603.78,2540.68,64911.11,0.88,0.03,1.71,3.00,20120319,3882.03,0.05,-18.81,-69.05,62.92,13.76,35038.00,300299
凯发电气,电气设备,天津,0.00,1.66,2.76,195056.81,165728.38,17436.47,16511.45,0.60,-0.15,3.39,2.32,20141203,47560.89,1.72,-5.10,-13.92,12.70,-17.52,19246.00,300407
南山控股,区域地产,深圳,0.00,7.38,18.78,1756733.75,1503795.88,62950.61,280562.97,1.49,-0.02,3.12,1.33,20091203,89355.50,0.48,146.29,53.37,39.71,-4.41,45217.00,002314
三维丝,环境保护,福建,0.00,2.14,3.85,258706.59,135266.05,38778.20,91488.22,2.37,-0.10,3.53,2.05,20100226,3873.06,0.10,15.78,-111.66,19.00,-34.92,21429.00,300056
南京化纤,化纤,江苏,0.00,3.07,3.66,181293.05,70121.13,82963.68,22740.70,0.62,-0.06,3.65,1.56,19960308,35921.60,0.98,-14.76,-191.75,4.78,-6.05,27152.00,600889
亿利达,专用机械,浙江,49.68,3.26,4.43,328183.72,150186.31,58667.88,50635.57,1.14,0.04,3.44,2.55,20120703,54253.61,1.22,32.96,18.35,29.84,6.82,13803.00,002686
仙坛股份,农业综合,山东,36.83,2.42,3.09,271770.59,163274.13,80798.06,118725.25,3.84,0.10,6.95,2.11,20150216,73211.75,2.37,-2.81,95.52,7.01,6.81,23151.00,002746
台基股份,半导体,湖北,34.26,2.13,2.13,103656.00,56466.78,14073.00,56347.88,2.64,0.11,4.04,3.69,20100120,10512.78,0.49,78.93,82.55,32.52,20.48,10000.00,300046
中体产业,文教休闲,天津,0.00,6.57,8.44,400156.78,356435.16,8446.37,2381.93,0.03,-0.01,1.92,6.28,19980327,62429.88,0.74,-3.61,15.99,19.45,-10.60,106858.00,600158
密尔克卫,仓储物流,上海,22.36,0.38,1.52,119281.77,70432.45,10599.10,30671.22,2.01,0.44,6.99,2.81,20180713,35132.05,2.30,0.00,0.00,21.58,8.86,38673.00,603713
达 意 隆,轻工机械,广东,244.46,1.91,1.95,160536.84,112471.47,38372.98,22323.70,1.14,0.01,3.26,2.53,20080130,18455.28,0.95,21.92,-40.77,24.47,0.65,14202.00,002209
丹邦科技,元器件,深圳,435.47,5.48,5.48,251160.25,39543.44,135021.92,71198.96,1.30,0.01,3.07,4.47,20110920,39840.59,0.73,-4.26,-45.57,38.31,5.98,22619.00,002618
江泉实业,综合类,山东,765.69,5.12,5.12,78490.96,24140.30,11071.13,46782.89,0.91,0.00,1.48,3.12,19990817,-32413.99,-0.63,-21.02,-84.27,14.70,1.35,37178.00,600212
