code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
002670,国盛金控,4038.90,0.05,-0.25,0.08,12.73
000627,天茂集团,106.75,0.09,22.81,0.11,82.39
600247,*ST成城,25.98,0.53,19.02,0.56,67.57
600155,华创阳安,10.83,0.01,6.89,0.02,2.61
000046,泛海控股,10.45,0.02,2.18,0.02,3.36
300059,东方财富,6.63,0.05,8.09,0.08,9.87
000809,铁岭新城,5.76,0.01,1.12,0.01,2.64
000517,荣安地产,5.54,0.03,-0.25,0.04,5.99
600053,九鼎投资,4.22,0.14,14.77,0.24,27.73
300189,神农基因,3.71,0.10,17.53,0.60,71.59
600598,北大荒,3.70,0.25,8.86,0.63,64.15
000576,广东甘化,3.70,0.27,192.23,5.82,583.81
300483,沃施股份,2.38,0.13,18.42,0.18,18.16
300023,宝德股份,2.17,0.04,-0.25,0.05,6.60
000567,海德股份,2.02,0.02,7.38,0.05,6.98
600225,天津松江,1.89,0.01,-0.25,0.01,1.57
603377,东方时尚,1.76,0.10,53.91,0.26,31.29
600318,新力金融,1.68,0.04,5.06,0.06,9.33
002039,黔源电力,1.55,0.04,12.79,0.05,27.24
300295,三六五网,1.47,0.09,7.17,0.35,34.68
000791,甘肃电投,1.46,0.02,-0.25,0.03,28.19
002167,东方锆业,1.45,0.08,17.45,0.12,18.34
000029,深深房A,1.37,0.05,-0.25,0.14,14.19
600515,海航基础,1.35,0.02,2.74,0.03,4.95
002095,生意宝,1.31,0.07,7.38,0.31,31.55
000056,皇庭国际,1.30,0.02,4.46,0.03,14.41
600846,同济科技,1.29,0.13,15.34,0.19,25.97
000886,海南高速,1.24,0.04,4.18,0.24,27.04
300216,千山药机,1.21,0.02,-0.25,0.02,2.70
600784,鲁银投资,1.20,0.11,5.56,0.19,19.57
000831,五矿稀土,1.19,0.06,4.43,1.67,176.16
000752,西藏发展,1.17,0.08,11.38,0.68,70.06
600077,宋都股份,1.16,0.03,33.57,0.04,5.39
600962,国投中鲁,1.16,0.15,62.70,0.40,40.57
000014,沙河股份,1.13,0.05,23.93,0.10,10.96
600217,中再资环,1.09,0.11,8.40,0.17,24.07
300402,宝色股份,1.09,0.02,-0.25,0.04,3.95
000655,*ST金岭,1.09,0.10,19.84,0.78,93.37
000667,美好置业,1.09,0.01,-0.25,0.02,2.05
000909,数源科技,1.07,0.09,61.58,0.13,22.20
600988,赤峰黄金,1.07,0.10,14.93,0.23,36.63
603959,百利科技,0.97,0.08,6.20,0.15,15.61
300056,三维丝,0.96,0.04,-0.25,0.09,9.60
000548,湖南投资,0.92,0.03,55.64,0.12,12.23
