code,name,mbrg,nprg,nav,targ,epsg,seg
603399,吉翔股份,77.92,82016.26,17.47,24.08,2500.00,15.60
600083,博信股份,3111.43,51381.41,1.44,68.82,-1395.00,28.73
002305,南国置业,-21.51,35252.06,0.60,7.20,93.10,-0.54
600256,广汇能源,196.05,18651.09,13.64,5.43,1650.00,8.31
600784,鲁银投资,-7.73,10246.40,-12.04,-15.80,6900.00,-6.06
300272,开能健康,18.48,8692.70,-1.36,-41.12,2490.99,62.75
600319,亚星化学,7.75,5366.20,451.92,-15.36,0.00,451.92
000912,*ST天化,8.70,5212.74,-1161.35,-21.87,4706.45,-1157.33
600136,当代明诚,265.00,4908.76,12.94,55.29,22500.00,7.54
002696,百洋股份,29.03,4716.67,106.34,87.49,-1258.00,116.66
002016,世荣兆业,610.73,4699.10,60.20,-9.19,4076.67,60.31
600429,三元股份,26.71,4430.19,17.42,85.01,2054.55,2.32
600131,岷江水电,44.26,4352.59,13.80,0.01,1360.00,13.28
002613,北玻股份,34.08,3639.10,4.79,14.16,3976.19,1.27
000553,沙隆达A,891.03,3360.73,883.72,1202.39,740.24,883.72
601360,三六零,477.34,2927.02,951.32,773.89,69.49,971.52
000040,东旭蓝天,29.34,2910.20,14.58,54.16,2903.70,14.45
300750,宁德时代,155.20,2744.85,7.37,10.99,-1221.69,6.95
600781,辅仁药业,897.68,2733.91,1002.81,676.93,823.57,1176.52
600516,方大炭素,408.40,2699.45,101.05,97.00,2374.53,97.79
600740,山西焦化,49.29,2540.09,250.78,71.87,1311.76,321.58
300080,易成新能,194.13,2458.27,-20.40,3.18,393.33,-32.29
600515,海航基础,-2.32,2234.13,-9.26,-6.08,2014.29,-16.30
300107,建新股份,176.06,2233.25,20.15,23.53,2211.11,20.15
002535,林州重机,85.77,2218.47,1.43,13.50,2164.29,-0.21
002798,帝欧家居,935.55,2178.14,388.89,580.75,1750.00,388.87
300052,中青宝,7.03,2166.84,-18.42,4.42,500.00,-19.69
600216,浙江医药,61.68,2149.86,17.65,19.00,1533.33,10.75
000885,同力水泥,-43.73,2123.02,-32.92,17.28,51740.00,-20.78
300423,鲁亿通,1171.26,1967.03,330.03,708.70,1333.33,330.03
300176,鸿特科技,184.08,1564.37,104.21,53.72,1564.07,104.21
601958,金钼股份,-24.29,1562.86,0.89,-1.59,1900.00,0.72
002386,天原集团,35.17,1511.17,-0.91,1.78,250.00,2.94
600708,光明地产,28.80,1430.91,21.05,22.17,806.04,23.00
601106,中国一重,75.26,1350.28,17.76,11.18,333.33,17.87
300276,三丰智能,264.84,1345.36,282.19,394.95,837.97,294.11
