code,name,industry,report,profit,operation,growth,debtpaying,cashflow
000760,斯太尔,汽车配件,1.00,1.57,3.50,2.17,3.50,1.00
300320,海达股份,橡胶,3.12,4.00,3.50,5.50,3.50,4.00
002175,东方网络,电器仪表,1.00,1.29,3.67,1.00,3.50,1.00
600666,奥瑞德,元器件,2.38,3.43,3.67,2.50,3.50,4.00
300299,富春股份,通信设备,2.38,3.43,3.67,1.00,3.50,1.00
300407,凯发电气,电气设备,1.75,1.71,3.50,3.17,3.50,1.00
002314,南山控股,区域地产,1.00,2.00,3.83,3.33,3.50,1.00
300056,三维丝,环境保护,2.00,1.57,3.67,3.17,3.50,4.40
600889,南京化纤,化纤,1.00,1.86,3.67,1.00,3.50,1.00
002686,亿利达,专用机械,2.50,3.29,3.50,4.33,3.50,1.00
002746,仙坛股份,农业综合,3.12,3.86,3.67,3.33,3.50,1.00
300046,台基股份,半导体,3.25,3.86,3.50,4.00,3.50,4.00
600158,中体产业,文教休闲,1.00,1.57,3.83,2.50,3.50,3.60
603713,密尔克卫,仓储物流,3.25,4.14,3.67,4.17,3.50,1.00
002209,达 意 隆,轻工机械,2.38,2.57,3.50,2.33,3.50,1.00
002618,丹邦科技,元器件,2.38,2.43,3.50,1.33,3.50,4.80
600212,江泉实业,综合类,1.25,2.00,3.67,1.33,3.50,1.00
300312,邦讯技术,通信设备,2.38,2.57,3.83,1.33,3.50,4.80
300513,恒泰实达,软件服务,2.62,2.43,4.00,4.33,3.50,1.00
000701,厦门信达,综合类,1.50,3.86,3.67,1.50,3.50,1.00
603706,东方环宇,供气供热,2.38,3.57,3.50,3.17,3.50,1.00
300073,当升科技,矿物制品,2.38,3.57,3.50,5.00,3.50,4.80
600458,时代新材,塑料,2.75,3.43,3.50,3.17,3.50,1.00
002072,凯瑞德,互联网,2.00,1.43,3.67,3.00,3.50,3.60
002636,金安国纪,元器件,2.38,4.14,3.67,3.33,3.50,5.00
603133,碳元科技,元器件,1.75,3.00,3.50,1.83,3.50,4.20
300745,欣锐科技,汽车配件,2.75,4.43,3.50,3.17,3.50,1.00
002892,科力尔,电气设备,2.00,3.14,3.50,2.33,3.50,4.80
603630,拉芳家化,日用化工,2.62,4.29,3.50,2.67,3.50,1.00
600588,用友网络,软件服务,1.00,2.29,3.67,3.00,3.50,1.00
603693,江苏新能,新型电力,3.12,4.43,3.67,3.17,3.50,4.60
300559,佳发教育,软件服务,3.12,3.57,3.50,5.33,3.50,1.00
002880,卫光生物,生物制药,2.12,4.00,3.67,2.00,3.50,1.00
603602,纵横通信,通信设备,1.00,1.71,3.50,2.50,3.50,1.00
300602,飞荣达,元器件,2.38,4.29,3.50,4.17,3.50,5.00
300395,菲利华,玻璃,2.38,3.71,3.50,3.67,3.50,5.00
300192,科斯伍德,染料涂料,2.75,3.43,3.50,5.00,3.50,5.00
002922,伊戈尔,电气设备,1.38,2.57,3.50,2.00,3.50,4.60
002471,中超控股,电气设备,1.38,2.71,3.50,2.33,3.50,4.60
002417,深南股份,通信设备,1.00,2.00,3.67,1.00,3.50,1.00
002243,通产丽星,塑料,2.62,3.00,3.50,3.17,3.50,1.00
002932,明德生物,医疗保健,2.50,4.29,3.50,3.17,3.50,4.40
000063,中兴通讯,通信设备,2.38,5.14,3.50,3.50,3.50,1.00
002886,沃特股份,塑料,2.38,3.57,3.50,3.00,3.50,1.00
002568,百润股份,红黄药酒,2.75,3.29,3.50,4.00,3.50,1.00
002861,瀛通通讯,通信设备,1.62,2.86,3.50,4.00,3.50,4.00
002356,赫美集团,其他商业,2.88,3.86,3.50,3.83,3.50,1.00
002458,益生股份,农业综合,3.00,3.00,3.50,3.50,3.50,1.00
300134,大富科技,通信设备,2.38,3.43,3.50,1.33,3.50,4.00
002631,德尔未来,家居用品,2.38,3.57,3.50,2.33,3.50,1.00
603108,润达医疗,医药商业,2.38,4.00,3.50,4.33,3.50,1.00
603105,芯能科技,电气设备,1.88,3.00,3.50,2.33,3.50,1.00
600682,南京新百,百货,2.38,4.29,3.50,3.33,3.50,1.00
002790,瑞尔特,家居用品,2.38,3.57,3.50,2.00,3.50,4.40
603618,杭电股份,电气设备,3.12,3.57,3.50,3.50,3.50,1.00
002112,三变科技,电气设备,2.38,1.71,3.50,2.17,3.50,1.00
300032,金龙机电,元器件,1.00,2.00,3.50,1.83,3.50,1.00
600775,南京熊猫,通信设备,2.88,3.29,3.50,3.50,3.50,1.00
603002,宏昌电子,化工原料,2.88,3.00,3.50,4.33,3.50,5.00
002299,圣农发展,农业综合,3.50,4.00,3.83,4.50,3.50,5.00
603042,华脉科技,通信设备,1.75,3.43,3.50,2.33,3.50,1.00
300174,元力股份,化工原料,2.38,4.43,3.83,5.00,3.50,4.40
600810,神马股份,化纤,3.50,4.57,3.50,3.33,3.50,5.00
300037,新宙邦,化工原料,2.12,4.00,3.50,3.17,3.50,4.00
002234,民和股份,农业综合,1.00,1.86,3.67,2.17,3.50,1.00
002231,奥维通信,通信设备,1.38,2.14,4.00,2.33,3.50,5.20
600711,盛屯矿业,小金属,3.38,4.14,3.83,5.17,3.50,1.00
300550,和仁科技,软件服务,2.88,3.00,3.83,4.00,3.50,1.00
600503,华丽家族,区域地产,2.38,2.71,4.00,1.33,3.50,1.00
000035,中国天楹,环境保护,1.88,3.14,3.50,3.83,3.50,1.00
300292,吴通控股,通信设备,2.25,3.57,3.67,3.00,3.50,5.20
002455,百川股份,化工原料,2.62,3.29,3.50,4.83,3.50,4.60
002896,中大力德,机械基件,2.50,3.71,3.50,3.00,3.50,4.00
300027,华谊兄弟,影视音像,2.38,4.57,3.50,3.17,3.50,5.00
300019,硅宝科技,化工原料,1.00,1.71,3.50,2.00,3.50,1.00
002770,科迪乳业,乳制品,1.88,3.00,3.67,3.00,3.50,5.00
002255,海陆重工,专用机械,2.75,3.43,3.67,5.50,3.50,1.00
002256,兆新股份,染料涂料,2.62,3.43,3.50,3.67,3.50,5.00
601011,宝泰隆,焦炭加工,3.00,3.43,3.67,4.83,3.50,5.00
000519,中兵红箭,矿物制品,2.00,3.57,3.50,2.67,3.50,5.00
002846,英联股份,广告包装,1.75,2.71,3.50,3.00,3.50,5.00
002721,金一文化,服饰,2.38,4.43,3.50,5.67,3.50,4.60
300333,兆日科技,元器件,2.38,2.71,3.50,1.67,3.50,1.00
300655,晶瑞股份,化工原料,2.75,3.57,3.50,3.50,3.50,1.00
000565,渝三峡Ａ,染料涂料,2.38,2.86,3.50,1.67,3.50,1.00
300340,科恒股份,元器件,3.12,4.00,3.50,4.67,3.50,1.00
603828,柯利达,装修装饰,2.62,3.71,3.83,3.17,3.50,1.00
300013,新宁物流,仓储物流,1.62,3.00,3.50,2.83,3.50,1.00
300409,道氏技术,陶瓷,3.62,4.43,3.50,5.83,3.50,1.00
601567,三星医疗,电器仪表,2.38,3.86,3.50,3.33,3.50,1.00
300066,三川智慧,电器仪表,1.62,3.00,3.67,2.17,3.50,1.00
300514,友讯达,通信设备,2.00,3.71,3.50,4.00,3.50,1.00
300469,信息发展,软件服务,1.00,2.00,4.00,2.00,3.50,1.00
603688,石英股份,矿物制品,2.88,3.43,3.50,4.00,3.50,4.40
603268,松发股份,陶瓷,2.38,3.57,3.50,4.17,3.50,4.00
300240,飞力达,仓储物流,1.75,3.14,3.67,2.50,3.50,4.20
300159,新研股份,农用机械,3.12,3.29,3.67,3.17,3.50,1.00
000034,神州数码,综合类,2.38,4.43,3.67,4.50,3.50,1.00
002116,中国海诚,建筑施工,2.25,3.86,3.50,2.33,3.50,1.00
603929,亚翔集成,装修装饰,2.38,4.14,3.50,2.83,3.50,5.00
600789,鲁抗医药,化学制药,3.62,4.43,3.50,5.67,3.50,4.00
002747,埃斯顿,机械基件,2.00,3.14,3.50,4.00,3.50,1.00
002321,华英农业,农业综合,2.38,3.14,3.50,4.17,3.50,1.00
600884,杉杉股份,综合类,3.12,4.00,3.50,5.17,3.50,1.00
000930,中粮生化,农业综合,2.12,3.86,3.83,3.00,3.50,4.40
002795,永和智控,机械基件,1.75,2.86,3.50,2.00,3.50,5.40
600312,平高电气,电气设备,1.62,2.14,3.67,1.33,3.50,1.00
603023,威帝股份,汽车配件,2.88,3.71,3.50,3.67,3.50,1.00
300653,正海生物,医疗保健,3.38,4.29,3.50,5.50,3.50,5.40
000018,神州长城,装修装饰,3.62,4.43,3.67,4.33,3.50,5.20
603110,东方材料,染料涂料,2.12,3.43,3.50,2.83,3.50,5.00
002879,长缆科技,电气设备,2.38,4.00,3.50,4.33,3.50,1.00
600773,西藏城投,区域地产,2.75,3.14,3.83,5.00,3.50,1.00
603041,美思德,化工原料,2.00,3.57,3.50,2.17,3.50,1.00
601222,林洋能源,电器仪表,2.38,4.14,3.50,3.17,3.50,4.20
603666,亿嘉和,专用机械,2.38,4.71,3.50,3.17,3.50,4.80
603088,宁波精达,专用机械,2.75,3.71,3.67,3.50,3.50,1.00
002899,英派斯,文教休闲,1.62,3.14,3.50,3.83,3.50,1.00
300022,吉峰农机,农用机械,1.25,2.57,3.50,1.00,3.50,1.00
000755,*ST三维,化工原料,1.00,2.00,4.00,3.17,3.50,1.00
002153,石基信息,软件服务,2.12,3.86,3.50,2.83,3.50,1.00
300317,珈伟股份,半导体,1.88,3.43,3.67,1.83,3.50,1.00
000153,丰原药业,化学制药,2.50,3.43,3.50,3.50,3.50,4.20
002427,*ST尤夫,化纤,2.38,3.29,3.50,1.50,3.50,1.00
600234,ST山水,文教休闲,1.62,2.71,4.00,2.50,3.50,1.00
603598,引力传媒,影视音像,2.25,3.29,3.33,4.33,3.50,1.00
300325,德威新材,塑料,2.62,3.00,3.50,4.33,3.50,1.00
600247,*ST成城,商贸代理,2.38,3.71,3.67,2.00,3.50,6.00
002662,京威股份,汽车配件,1.00,2.29,3.50,2.50,3.50,1.00
002830,名雕股份,装修装饰,1.25,1.71,3.67,3.17,3.50,1.00
300100,双林股份,汽车服务,2.12,3.86,3.50,2.83,3.50,4.40
300062,中能电气,电气设备,1.38,2.57,3.67,2.00,3.50,1.00
601992,金隅集团,水泥,1.00,2.43,3.67,2.50,3.50,1.00
002278,神开股份,化工机械,1.00,1.71,3.83,1.67,3.50,1.00
600589,广东榕泰,塑料,2.62,3.29,3.50,3.00,3.50,1.00
300141,和顺电气,电气设备,1.62,2.71,3.67,2.50,3.50,1.00
002528,英飞拓,电脑设备,1.00,2.00,3.50,2.67,3.50,1.00
300364,中文在线,出版业,2.12,1.71,3.67,3.67,3.50,1.00
002229,鸿博股份,广告包装,1.00,1.71,3.50,1.83,3.50,1.00
300477,合纵科技,电气设备,1.38,2.57,3.50,4.67,3.50,1.00
600129,太极集团,中成药,2.38,3.71,3.50,5.50,3.50,4.20
300505,川金诺,化工原料,2.38,3.57,3.50,3.33,3.50,1.00
601038,一拖股份,农用机械,2.38,3.57,3.50,1.17,3.50,1.00
600562,国睿科技,通信设备,1.75,3.00,3.67,2.50,3.50,1.00
600265,ST景谷,林业,1.25,1.43,4.00,3.00,3.50,1.00
603157,拉夏贝尔,服饰,2.38,5.00,3.50,3.33,3.50,1.00
300184,力源信息,元器件,3.50,4.14,3.50,4.50,3.50,1.00
002878,元隆雅图,文教休闲,3.25,4.00,3.67,4.00,3.50,5.60
300071,华谊嘉信,广告包装,3.00,3.71,3.33,2.50,3.50,4.20
