code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
002647,民盛金科,0.43,207.66,18716.68,0.00,0.18,494.23
300347,泰格医药,0.68,131.44,16472.67,0.01,0.32,277.09
300467,迅游科技,2.68,33.53,10472.76,0.01,0.28,325.26
603377,东方时尚,2520.95,0.04,5980.13,0.01,0.16,549.79
000038,深大通,0.65,137.68,4874.10,0.02,0.14,636.04
000415,渤海金控,3.62,24.84,3373.62,0.03,0.14,643.32
600897,厦门空港,1.27,70.97,1693.60,0.05,0.42,213.78
600621,华鑫股份,0.29,309.07,1419.20,0.06,0.00,52941.18
002400,省广集团,1.00,89.97,1021.30,0.09,0.39,232.38
002659,凯文教育,163.46,0.55,948.81,0.09,0.15,618.13
603357,设计总院,0.34,268.18,900.46,0.10,0.16,547.45
002649,博彦科技,0.99,90.49,848.84,0.11,0.34,263.23
002707,众信旅游,4.70,19.14,837.31,0.11,0.74,121.39
300675,建科院,0.23,385.11,801.55,0.11,0.11,824.18
300299,富春股份,0.51,175.58,798.13,0.11,0.19,469.97
600452,涪陵电力,5.00,17.99,735.31,0.12,0.78,114.78
601619,嘉泽新能,0.23,389.78,732.75,0.12,0.16,578.41
300738,奥飞数据,0.93,96.71,670.57,0.13,0.33,273.47
600576,祥源文化,0.47,189.71,603.68,0.15,0.14,665.68
603258,电魂网络,13.75,6.55,447.94,0.20,0.07,1217.86
603056,德邦股份,4.67,19.26,431.59,0.21,1.08,83.19
603569,长久物流,0.77,116.84,426.23,0.21,0.39,233.58
300170,汉得信息,0.35,253.88,421.18,0.21,0.21,420.36
000503,国新健康,3.35,26.85,287.60,0.31,0.01,6716.42
002072,凯瑞德,0.71,126.96,254.75,0.35,0.09,993.38
601519,大智慧,1.96,45.93,245.23,0.37,0.15,589.39
603506,南都物业,1.46,61.57,230.55,0.39,0.28,322.12
600131,岷江水电,30.98,2.91,228.01,0.39,1.42,63.59
002039,黔源电力,2.85,31.54,209.23,0.43,0.45,198.37
300383,光环新网,1.11,81.18,200.59,0.45,0.45,200.62
603813,原尚股份,1.07,84.14,170.84,0.53,0.39,229.42
300746,汉嘉设计,0.63,142.05,161.45,0.56,0.30,304.16
002018,*ST华信,0.16,564.62,157.82,0.57,0.11,800.71
600556,ST慧球,1.15,78.58,143.55,0.63,0.25,358.71
000088,盐田港,3.45,26.08,133.93,0.67,0.08,1171.88
300348,长亮科技,0.28,324.09,126.59,0.71,0.17,537.31
600270,外运发展,1.52,59.35,114.27,0.79,0.23,392.33
600865,百大集团,18.20,4.95,113.98,0.79,0.34,267.46
600605,汇通能源,0.89,101.40,109.61,0.82,0.68,132.02
000796,凯撒旅游,1.66,54.07,109.26,0.82,0.40,226.81
002357,富临运业,3.00,30.02,108.15,0.83,0.91,98.57
000791,甘肃电投,0.59,153.40,106.17,0.85,0.17,534.44
000089,深圳机场,1.70,52.86,104.18,0.86,0.21,420.56
600233,圆通速递,4.97,18.13,101.81,0.88,0.85,106.08
000606,顺利办,3.85,23.39,99.99,0.90,0.15,596.82
002027,分众传媒,0.98,92.28,93.56,0.96,0.27,337.84
002468,申通快递,3.72,24.21,89.76,1.00,0.53,170.29
600634,*ST富控,5.28,17.06,89.70,1.00,0.12,775.19
002120,韵达股份,8.73,10.31,83.32,1.08,0.59,152.31
300494,盛天网络,1.26,71.56,83.30,1.08,0.13,706.99
300560,中富通,0.31,288.46,65.62,1.37,0.24,381.36
603444,吉比特,1.89,47.55,63.71,1.41,0.16,577.29
600221,海航控股,6.62,13.59,60.92,1.48,0.44,204.78
300215,电科院,4.81,18.72,58.23,1.55,0.18,488.33
603888,新华网,0.48,186.80,57.99,1.55,0.09,1018.10
600009,上海机场,1.66,54.21,55.59,1.62,0.23,388.60
000889,茂业通信,0.77,116.61,55.24,1.63,0.43,209.40
300144,宋城演艺,19.16,4.70,53.18,1.69,0.28,317.24
000524,岭南控股,12.40,7.26,52.54,1.71,1.00,90.42
002285,世联行,0.85,106.11,49.93,1.80,0.13,693.91
