code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
600247,*ST成城,87.97,136.69,12.04,27.26,0.08,19.94,0.06
000720,*ST新能,34.33,139.69,18.06,580.71,0.45,415.69,0.32
300272,开能健康,31.59,221.06,30.94,354.91,0.89,160.54,0.40
600319,亚星化学,25.92,2.24,10.84,11.33,0.04,505.54,1.60
600671,天目药业,23.20,22.43,33.03,20.28,0.17,90.37,0.74
000717,韶钢松山,22.39,14.05,16.30,858.31,0.35,6106.04,2.52
300618,寒锐钴业,20.98,34.56,53.12,254.84,2.12,737.34,6.14
300251,光线传媒,19.15,497.26,37.76,1992.78,0.68,400.75,0.14
600507,方大特钢,16.85,14.43,29.22,557.49,0.42,3862.86,2.91
300176,鸿特科技,16.70,20.66,71.07,222.08,2.07,1074.56,10.02
600678,四川金顶,16.46,11.33,26.65,5.70,0.02,50.25,0.14
600423,*ST柳化,16.44,1.54,17.40,8.09,0.02,523.14,1.31
600516,方大炭素,16.19,53.79,83.14,1894.47,1.06,3521.92,1.97
002709,天赐材料,14.54,94.35,24.98,411.51,1.21,436.13,1.28
002016,世荣兆业,14.05,43.43,61.61,405.56,0.50,933.70,1.15
600309,万华化学,13.27,26.06,43.03,3545.72,1.30,13601.91,4.97
000932,华菱钢铁,12.91,7.67,16.23,1533.94,0.51,19982.98,6.63
601003,柳钢股份,12.68,9.21,12.51,1046.01,0.41,11350.41,4.43
600802,福建水泥,12.67,17.19,29.57,86.48,0.23,503.03,1.32
600230,沧州大化,12.64,34.00,60.19,397.70,1.35,1169.48,3.98
002893,华通热力,12.61,15.45,23.66,85.67,0.71,554.47,4.62
603799,华友钴业,12.59,24.79,35.11,850.52,1.44,3430.72,5.79
300571,平治信息,12.39,20.40,43.61,47.72,0.60,233.84,2.92
002626,金达威,12.12,44.75,66.94,338.01,0.55,755.18,1.22
600338,西藏珠峰,11.97,40.32,71.12,223.75,0.34,554.88,0.85
600809,山西汾酒,11.93,21.91,70.95,710.07,0.82,3239.87,3.74
603595,东尼电子,10.69,29.81,48.45,87.93,0.86,294.93,2.89
002304,洋河股份,10.54,36.43,74.79,3475.15,2.31,9537.59,6.33
002027,分众传媒,10.43,40.79,68.94,1207.46,0.10,2959.58,0.24
603260,合盛硅业,10.42,28.06,43.69,630.12,0.94,2245.50,3.35
300107,建新股份,10.36,41.62,59.95,113.88,0.21,273.58,0.50
002168,深圳惠程,10.36,25.85,76.82,156.16,0.19,604.06,0.74
000952,广济药业,10.29,35.50,69.24,86.94,0.35,244.85,0.97
000553,沙隆达A,10.00,31.26,34.75,2032.03,0.83,6499.51,2.66
300554,三超新材,9.98,37.89,55.75,52.52,1.01,138.58,2.66
603587,地素时尚,9.95,28.63,73.59,147.17,0.43,513.98,1.51
603666,亿嘉和,9.92,43.11,65.83,34.14,0.65,79.19,1.50
600995,文山电力,9.91,33.57,47.15,187.26,0.39,557.66,1.17
000848,承德露露,9.86,24.41,52.94,218.62,0.22,895.59,0.92
000629,*ST钒钛,9.79,14.68,23.58,467.73,0.05,3185.92,0.37
002001,新和成,9.67,49.04,73.44,1493.71,1.18,3045.45,2.41
600566,济川药业,9.58,21.94,84.67,466.83,0.58,2127.61,2.63
600729,重庆百货,9.47,5.19,18.62,522.90,1.29,10063.00,24.75
603027,千禾味业,9.37,44.81,43.71,109.95,0.34,245.35,0.75
603288,海天味业,9.28,25.62,46.70,1202.77,0.45,4694.42,1.74
000018,神州长城,9.25,23.66,24.77,218.52,0.13,923.44,0.54
600398,海澜之家,9.18,19.54,39.90,1130.94,0.25,5786.24,1.29
002711,欧浦智网,9.16,14.34,7.78,166.62,0.16,1161.78,1.10
600779,水井坊,8.92,20.68,80.79,154.83,0.32,748.34,1.53
600641,万业企业,8.88,41.33,65.13,572.42,0.71,1384.72,1.72
603369,今世缘,8.82,34.16,74.35,509.06,0.41,1490.19,1.19
000537,广宇发展,8.81,21.06,35.04,933.62,0.50,4431.68,2.38
