code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000693,*ST华泽,-0.00,-97.22,0.00,1.47,0.00,-107.43,-97.36,0.00,06-29
000939,*ST凯迪,-0.07,-240.00,0.00,-3.04,0.00,-28370.99,-368.73,0.00,06-29
002932,明德生物,0.27,0.00,0.00,5.51,0.00,1362.27,8.07,0.00,06-27
600399,*ST抚钢,-0.02,-182.64,0.00,1.47,0.00,-2194.45,-169.75,0.00,06-26
603713,密尔克卫,0.29,130.65,0.00,1.47,0.00,3313.11,130.66,0.00,06-25
000409,*ST地矿,-0.16,166.67,0.00,-12.12,0.00,-8139.96,180.95,0.00,06-22
601066,中信建投,0.14,0.00,0.00,1.47,0.00,98981.96,-1.55,0.00,06-19
603105,芯能科技,0.03,-200.00,0.00,1.47,0.00,1087.80,-178.76,0.00,06-19
603693,江苏新能,0.21,5.00,0.00,3.10,0.00,10338.01,3.16,0.00,06-12
300216,千山药机,-0.22,-466.67,0.00,-4.02,0.00,-7792.78,-445.75,0.00,06-09
601330,绿色动力,0.05,-16.67,2.19,2.53,-0.05,5715.59,-1.17,0.00,06-08
601138,工业富联,0.15,0.00,0.00,1.47,0.00,265322.50,4.53,0.00,06-07
603587,地素时尚,0.43,2.38,0.00,10.20,0.00,14717.29,1.96,0.00,06-04
603666,亿嘉和,0.65,-435.94,0.00,1.47,0.00,3414.25,-436.02,0.00,05-29
300750,宁德时代,0.21,-1221.69,0.00,1.66,0.00,41334.72,-3636.53,0.00,05-22
603045,福达合金,0.07,16.75,0.00,1.08,-3.95,544.55,16.68,0.00,05-16
603013,亚普股份,0.16,77.78,4.82,3.37,0.33,7208.26,83.60,0.00,05-08
300746,汉嘉设计,0.07,40.00,0.00,1.96,0.00,1182.10,60.82,0.00,05-08
300742,越博动力,-0.17,21.43,11.53,-1.46,-0.73,-996.40,24.78,0.00,05-07
603259,药明康德,0.31,-13.89,7.10,4.51,-0.03,29065.76,-13.72,0.00,05-07
600175,美都能源,0.01,42.11,0.00,0.45,0.00,4821.69,42.08,0.00,05-03
600680,*ST上普,-0.05,-3.70,0.00,-5.57,0.00,-1978.56,-3.36,0.00,05-03
300745,欣锐科技,0.33,0.00,0.00,3.94,0.00,2813.79,8.07,0.00,05-03
603665,康隆达,0.17,-22.73,0.00,1.80,0.00,1634.90,1.07,0.00,04-28
601901,方正证券,0.04,-20.00,4.59,0.84,-0.18,31653.43,-21.81,0.00,04-28
600398,海澜之家,0.25,13.64,0.00,9.63,0.00,113094.13,11.97,0.00,04-28
601988,中国银行,0.16,6.67,4.77,3.48,1.30,4900100.00,5.04,0.00,04-28
603009,北特科技,0.07,-51.87,0.00,1.70,0.00,2324.10,20.33,0.00,04-28
600068,葛洲坝,0.13,1.53,0.00,2.44,0.00,75769.62,1.51,0.00,04-28
603776,永安行,0.28,-24.32,0.00,1.64,0.00,2707.28,0.87,0.00,04-28
600455,博通股份,-0.01,-88.64,0.00,-0.24,0.00,-30.84,-88.82,0.00,04-28
000639,西王食品,0.15,0.00,0.00,3.64,0.00,8380.96,23.66,0.00,04-28
603811,诚意药业,0.21,-4.55,0.00,2.93,0.00,1782.66,25.76,0.00,04-28
000670,盈方微,-0.02,-441.94,0.00,-4.80,0.00,-1733.53,-442.56,0.00,04-28
600836,界龙实业,0.01,-225.00,0.00,0.77,0.00,688.52,-229.47,0.00,04-28
002084,海鸥住工,0.04,19.94,0.00,1.34,0.00,2194.31,33.25,0.00,04-28
603848,好太太,0.12,33.33,0.00,4.29,0.00,4766.48,53.78,0.00,04-28
000690,宝新能源,0.03,200.00,0.00,0.75,0.00,6416.31,144.37,0.00,04-28
600856,中天能源,0.10,-16.67,0.00,2.67,0.00,13317.88,-3.75,0.00,04-28
002421,达实智能,0.02,-13.15,0.00,1.15,0.00,3577.26,-11.20,0.00,04-28
603881,数据港,0.16,33.33,0.00,3.69,0.00,3367.38,40.32,0.00,04-28
600515,海航基础,0.15,2014.29,0.00,1.68,0.00,57794.41,2173.23,0.00,04-28
000711,京蓝科技,-0.11,10.00,0.00,-1.55,0.00,-8023.55,156.55,0.00,04-28
600137,浪莎股份,0.05,27.78,0.00,0.94,0.00,448.81,29.74,0.00,04-28
600532,宏达矿业,-0.03,50.00,0.00,-0.84,0.00,-1519.85,57.97,0.00,04-28
000729,燕京啤酒,0.02,0.00,0.00,0.42,0.00,5415.38,0.83,0.00,04-28
002132,恒星科技,0.00,-86.50,0.00,0.12,0.00,336.09,-89.13,0.00,04-28
600158,中体产业,-0.01,-16.00,0.00,-0.65,0.00,-1062.22,-15.99,0.00,04-28
600552,凯盛科技,0.02,-42.49,0.00,0.58,0.00,1382.82,15.37,0.00,04-28
002780,三夫户外,0.01,-125.00,0.00,0.24,0.00,153.32,-151.84,0.00,04-28
000758,中色股份,0.05,1.08,0.00,1.79,0.00,9224.16,1.07,0.00,04-28
002148,北纬科技,0.03,-72.73,0.00,1.39,0.00,1698.74,-42.18,0.00,04-28
603980,吉华集团,0.24,-4.00,0.00,3.01,0.00,12142.83,21.38,0.00,04-28
600571,信雅达,0.01,-73.53,0.00,0.26,0.00,393.88,-73.55,0.00,04-28
600970,中材国际,0.10,11.11,0.00,2.31,0.00,17705.76,18.09,0.00,04-28
600193,*ST创兴,-0.01,-188.89,0.00,-1.92,0.00,-345.75,-185.91,0.00,04-28
600588,用友网络,-0.06,-45.45,0.00,-1.78,0.00,-10794.65,-35.37,0.00,04-28
000806,银河生物,-0.02,55.00,0.00,-0.98,0.00,-2048.27,55.41,0.00,04-28
600988,赤峰黄金,0.02,100.00,0.00,1.12,0.00,3111.37,304.53,0.00,04-28
002180,纳思达,0.08,-109.39,0.00,2.10,0.00,8517.59,-109.92,0.00,04-28
600876,洛阳玻璃,0.01,236.36,0.00,0.42,0.00,406.66,251.09,0.00,04-28
002120,韵达股份,0.33,17.86,0.00,7.45,0.00,40363.79,44.74,0.00,04-28
603117,万林股份,0.07,75.00,0.00,1.30,0.00,2981.17,52.04,0.00,04-28
603912,佳力图,0.16,-20.00,0.00,3.75,0.00,2378.87,8.90,0.00,04-28
000735,罗牛山,0.29,284.63,0.00,8.89,0.00,33134.18,284.81,0.00,04-28
300169,天晟新材,-0.01,-37.12,0.00,-0.40,0.00,-468.38,-37.30,0.00,04-28
600162,香江控股,0.00,-88.89,0.00,0.22,0.00,1428.17,-86.58,0.00,04-28
603958,哈森股份,0.17,-4.02,0.00,3.15,0.00,3622.32,-4.40,0.00,04-28
002785,万里石,0.02,0.00,0.00,0.60,0.00,385.08,9.79,0.00,04-28
600936,广西广电,0.03,-25.00,0.00,1.04,0.00,4721.22,-23.54,0.00,04-28
603988,中电电机,0.05,-54.55,0.00,0.93,0.00,626.49,-29.99,0.00,04-28
600976,健民集团,0.19,58.33,0.00,2.62,0.00,2892.28,63.40,0.00,04-28
603232,格尔软件,0.03,-70.00,0.00,0.28,0.00,162.88,-62.89,0.00,04-28
600198,*ST大唐,-0.17,16.98,0.00,1.47,0.00,-15313.89,16.96,0.00,04-28
002489,浙江永强,0.01,-90.91,0.00,0.88,0.00,2855.20,-88.34,0.00,04-28
000009,中国宝安,0.02,5.13,0.00,0.35,0.00,3523.36,5.26,0.00,04-28
002184,海得控制,-0.09,24.73,0.00,-1.95,0.00,-2147.65,23.30,0.00,04-28
002505,大康农业,0.00,-64.58,0.00,0.33,0.00,1849.62,-64.97,0.00,04-28
600611,大众交通,0.07,-15.39,0.00,1.70,0.00,15602.60,-15.75,0.00,04-28
600234,ST山水,0.01,-133.33,0.00,1.87,0.00,133.70,-123.84,0.00,04-28
600629,华建集团,0.16,22.84,0.00,2.83,0.00,7113.82,47.86,0.00,04-28
002538,司尔特,0.06,20.83,0.00,1.23,0.00,4130.91,20.21,0.00,04-28
000889,茂业通信,0.11,43.27,0.00,2.43,0.00,6545.16,43.27,0.00,04-28
601155,新城控股,0.15,650.00,0.00,1.72,0.00,36040.98,752.61,0.00,04-28
603385,惠达卫浴,0.16,14.29,0.00,1.48,0.00,4466.43,11.85,0.00,04-28
600272,开开实业,0.03,50.00,0.00,1.60,0.00,802.33,41.19,0.00,04-28
000333,美的集团,0.80,19.40,0.00,6.87,0.00,525623.10,20.76,0.00,04-28
600666,奥瑞德,0.04,-33.33,0.00,1.99,0.00,5282.54,11.49,0.00,04-28
603477,振静股份,0.05,-16.67,0.00,1.52,0.00,1222.98,10.15,0.00,04-28
